"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043062","extracellular structure organization","135/3925","279/18842",0.483870967741935,2.32282720361619,11.4185825843479,5.53695201596334e-25,2.45567639036819e-21,2.45567639036819e-21,"COL12A1/COL6A5/ADAMTS9/MATN2/COL5A1/NPHS1/TIE1/APLP1/ADAMTS12/PRSS1/FLRT2/KLK5/MIR205/COL19A1/MIR145/TGFBR3/ZNF469/TMPRSS6/MFAP4/ADAMTSL1/GPM6B/COL9A3/HPN/RAMP2/ADAMTS7/DDR2/FMOD/MATN4/RGCC/DMP1/HPSE2/DPP4/CTSG/COLGALT2/MMP11/TNXB/COL5A2/WT1/COL24A1/MMP17/ECM2/COL22A1/MMP9/ANGPTL7/ADAMTS5/HAS3/PPARG/VIT/CMA1/CREB3L1/TEX14/BMP2/LOXL4/CARMIL2/COL6A6/COL2A1/P3H4/MATN3/SPINK5/CCN3/IL6/CCDC80/LAMA2/ADAMTSL4/ADAMTS19/TLL1/HAS1/COL11A1/PLAU/ADAMTS3/GDPD2/MMP19/COL1A2/ADAMTS14/ADAMTS6/FBLN1/COL3A1/DPT/PRSS2/KLK4/ADAMTS8/MMP3/MMP10/COL14A1/ADAM8/NDNF/MMP13/COL1A1/PLAUR/NPNT/PHLDB1/SULF1/POSTN/MMP12/ELANE/FAP/RECK/LTBP4/MMP20/COL10A1/MMP28/ADAMTS1/PXDNL/PHLDB2/PRDM5/LRP1/MIR27B/ADAMTS20/COL13A1/COL4A3/NTN4/FGFR4/AGT/TLL2/IBSP/MMP27/COL17A1/ADAMTS18/COL23A1/P4HA1/ADAMTSL2/SLC2A10/LAMA1/COL8A1/KLK7/MARCO/MMP1/MMP14/SCX/GREM1/MYH11/LOXL1/MANSC4/AEBP1/FBLN5",135
"GO:0045229","external encapsulating structure organization","135/3925","280/18842",0.482142857142857,2.3145313921747,11.3675966107408,8.53109741312556e-25,2.45567639036819e-21,2.45567639036819e-21,"COL12A1/COL6A5/ADAMTS9/MATN2/COL5A1/NPHS1/TIE1/APLP1/ADAMTS12/PRSS1/FLRT2/KLK5/MIR205/COL19A1/MIR145/TGFBR3/ZNF469/TMPRSS6/MFAP4/ADAMTSL1/GPM6B/COL9A3/HPN/RAMP2/ADAMTS7/DDR2/FMOD/MATN4/RGCC/DMP1/HPSE2/DPP4/CTSG/COLGALT2/MMP11/TNXB/COL5A2/WT1/COL24A1/MMP17/ECM2/COL22A1/MMP9/ANGPTL7/ADAMTS5/HAS3/PPARG/VIT/CMA1/CREB3L1/BMP2/LOXL4/CARMIL2/COL6A6/COL2A1/P3H4/MATN3/SPINK5/CCN3/IL6/CCDC80/LAMA2/ADAMTSL4/ADAMTS19/TLL1/HAS1/COL11A1/PLAU/ADAMTS3/GDPD2/MMP19/COL1A2/ADAMTS14/ADAMTS6/FBLN1/COL3A1/DPT/PRSS2/KLK4/ADAMTS8/MMP3/MMP10/COL14A1/ADAM8/NDNF/MMP13/COL1A1/PLAUR/NPNT/PHLDB1/SULF1/POSTN/MMP12/ELANE/FAP/RECK/LTBP4/MMP20/COL10A1/MMP28/ADAMTS1/PXDNL/PHLDB2/PRDM5/LRP1/MIR27B/ADAMTS20/COL13A1/COL4A3/NTN4/FGFR4/AGT/TLL2/IBSP/MMP27/COL17A1/ADAMTS18/COL23A1/P4HA1/ADAMTSL2/SLC2A10/LAMA1/COL8A1/KLK7/MARCO/MMP1/MMP14/SCX/GREM1/MYH11/LOXL1/MANSC4/AEBP1/FBLN5/HRNR",135
"GO:0030198","extracellular matrix organization","134/3925","278/18842",0.482014388489209,2.31391467717546,11.3210013589369,1.31565325789557e-24,2.5247386019016e-21,2.5247386019016e-21,"COL12A1/COL6A5/ADAMTS9/MATN2/COL5A1/NPHS1/TIE1/APLP1/ADAMTS12/PRSS1/FLRT2/KLK5/MIR205/COL19A1/MIR145/TGFBR3/ZNF469/TMPRSS6/MFAP4/ADAMTSL1/GPM6B/COL9A3/HPN/RAMP2/ADAMTS7/DDR2/FMOD/MATN4/RGCC/DMP1/HPSE2/DPP4/CTSG/COLGALT2/MMP11/TNXB/COL5A2/WT1/COL24A1/MMP17/ECM2/COL22A1/MMP9/ANGPTL7/ADAMTS5/HAS3/PPARG/VIT/CMA1/CREB3L1/BMP2/LOXL4/CARMIL2/COL6A6/COL2A1/P3H4/MATN3/SPINK5/CCN3/IL6/CCDC80/LAMA2/ADAMTSL4/ADAMTS19/TLL1/HAS1/COL11A1/PLAU/ADAMTS3/GDPD2/MMP19/COL1A2/ADAMTS14/ADAMTS6/FBLN1/COL3A1/DPT/PRSS2/KLK4/ADAMTS8/MMP3/MMP10/COL14A1/ADAM8/NDNF/MMP13/COL1A1/PLAUR/NPNT/PHLDB1/SULF1/POSTN/MMP12/ELANE/FAP/RECK/LTBP4/MMP20/COL10A1/MMP28/ADAMTS1/PXDNL/PHLDB2/PRDM5/LRP1/MIR27B/ADAMTS20/COL13A1/COL4A3/NTN4/FGFR4/AGT/TLL2/IBSP/MMP27/COL17A1/ADAMTS18/COL23A1/P4HA1/ADAMTSL2/SLC2A10/LAMA1/COL8A1/KLK7/MARCO/MMP1/MMP14/SCX/GREM1/MYH11/LOXL1/MANSC4/AEBP1/FBLN5",134
"GO:0042391","regulation of membrane potential","170/3925","419/18842",0.405727923627685,1.94770077375614,10.0630384269663,1.30363860136518e-20,1.87626185701484e-17,1.87626185701484e-17,"SLC4A4/SLC24A4/KCNH8/SLC25A27/KCNH2/RIMS2/CACNA1D/KCNC4/GRIK1/ACTN2/KCNA6/GABRG2/BAX/NPAS4/PYCR1/KCNS3/CACNA1H/NPY2R/SLC26A3/CHRNA2/PID1/MET/BAK1/TACR1/RGS4/EDN1/GLRA3/CASQ2/KCNA1/NLGN3/RIMS4/HTR3A/ABCB5/CFTR/TRPA1/SCN7A/CHRNA7/SLC8A3/BAIAP2/ADRB2/SRC/ALB/MYOC/CAV3/P2RX5/KCNG2/CDKN2A/CLN3/CHRNA9/CACNB3/SLC4A8/CHRNA5/KCNH1/RGS7BP/DRD2/TRDN/SYT1/WNT7A/GPER1/HCN2/SCN9A/KCNB2/ABAT/DRD4/SCN3A/KCNB1/CBLN1/KISS1R/STX1A/SLC6A4/KCNF1/MLLT11/KCNJ11/KCNJ3/CHRNB4/SLC17A7/ATP1B2/KCNIP1/KCNK9/CD36/SLC8A2/GABRG3/ANK2/NRXN1/OPRD1/GJA1/KCNMB2/MAPK8IP2/CUX2/ATP1A3/CACNA2D1/GRIA4/KCNA5/KCNK3/SHANK3/GRIK5/PRKN/GRIN2D/KCNMB1/SCN11A/RIMS3/DMD/SCN5A/SCN4B/SLC1A7/DCN/CTNNA3/ATP1A2/KCNE1/NALF1/CHRNA6/INSYN2A/RELN/KCNA4/ASIC3/TAC1/CLCN2/SCN4A/BOK/PIEZO2/AKAP6/SCN3B/GABRA2/KCNE4/CCN6/KCNH5/GABRD/GABRA4/CAV1/SCN2A/BIN1/ADRA1A/GRIA2/PARP1/IFI6/HCN1/KCNG3/KCNS1/AGT/KISS1/GRIN2B/NLGN1/BEGAIN/NPR2/P2RX6/PNOC/FHL1/SCN2B/KCNK1/NOS1/KCNIP2/KCNH6/CHRNA4/GRIN2A/ADORA2A/GBA1/KCNJ8/PMAIP1/KCNC2/KCNH4/PLN/KCNJ2/CNR2/GABRR1/FXYD1/KCNA2/KCNG1/GABRA3/CACNA1G/NTSR1",170
"GO:0010817","regulation of hormone levels","183/3925","487/18842",0.375770020533881,1.80388757373233,9.21963360383998,6.72336365435555e-18,7.74128091162497e-15,7.74128091162497e-15,"INHBA/GHR/ADH1C/LEP/NMB/AKR1D1/NMU/CYP2C9/DUOXA2/RIMS2/TFR2/NR5A2/CRY2/SLCO1C1/OPRK1/CYP1A1/EDN3/RAB11FIP3/ECRG4/PRKCA/HSD17B6/BRSK2/CACNA1H/DIO1/BMP5/GATA3/TACR1/GHRH/HPN/GALR1/HSD17B11/MME/EDN1/HCAR2/SPP1/MLXIPL/UGT2B7/EPHA5/PRKD1/PCSK6/TRPA1/ADH4/SLC7A8/PCSK5/ADH1B/ALDH1A2/DPP4/CTSG/AKR1C3/CES1/CORIN/ALDH1A3/RASL10B/UQCC2/CYP46A1/SLC5A5/RPE65/BMP8A/DHRS3/PPARG/CMA1/INHA/DRD2/TOR2A/HSD3B1/BMP2/PRKACB/SLC25A22/BAIAP3/MYB/ITSN1/SOX11/ALDOA/GPER1/CCN3/TACR3/WNK4/ABAT/SRD5A2/IL6/AKR1C2/SDR16C5/SULT1E1/KCNB1/KISS1R/STX1A/MYRIP/KCNJ11/ILDR1/FGA/TCF7L2/CYP1A2/RBP4/RDH16/SLCO4A1/RETSAT/KCNK9/CYP21A2/AKR1C8/EGR1/SLCO1B1/PER2/GJA1/FFAR3/PDE8B/PCSK4/CHST8/PASK/CACNA2D1/UCN/KCNA5/PRKN/GCK/DHRS9/RFX6/RAB3A/ADH6/SLC30A8/FOXD1/ADCY5/CAMP/FAM3D/ANXA1/SCT/TG/ADM/TAC1/RAPGEF3/IFNG/CLCN2/CHGA/ADCY8/AKR1B15/CARTPT/CRHBP/AKR1C1/DOC2B/FOXO1/ADH7/UGT2B4/PNPLA2/ABCA12/VIP/DGAT2/SLC7A5/HSD17B7/MAFA/BMP6/AGT/KISS1/RDH5/CYP11A1/CYP3A4/UGT2B28/BCHE/TPO/CACNG4/UGT2B17/IL11/ABCC8/CYP26B1/TRPM5/NNAT/HSD17B10/CHST9/HADH/NKX6-1/PTPRN2/EDNRB/IRS2/HSD17B2/PCSK1/BLK/GAL/CEL/ALDH1A1/GPLD1/LIPE/FFAR4/C1QTNF1/ADH1A/PLA2G3/SHH",183
"GO:0008015","blood circulation","177/3925","480/18842",0.36875,1.77018789808917,8.76775443940342,2.02501474441743e-16,1.94300164726852e-13,1.94300164726852e-13,"KLK3/AZU1/NPR3/LEP/NMU/MAS1/KCNH2/CLDN5/CACNA1D/SGK1/ATP2A3/CYP4F2/EDN3/JPH2/CDH5/CLIC2/CACNA1H/RGS2/RARRES2/ITGA9/GSN/HTR1D/TACR1/MME/RGS4/EDN1/KLK2/CASQ2/RAMP2/PPARA/CELF2/TH/ACVRL1/TRPA1/SCN7A/ADD3/KL/SLC8A3/PCSK5/ADRB2/CTSG/SRC/CAV3/CORIN/GPR37L1/RASL10B/SH3GL2/MYL7/ANGPT1/ADRA2B/JPH1/PPARG/CMA1/PDE1C/DRD2/TRDN/KLF2/HTR2A/PDE3A/SLC1A1/SVEP1/KAT2B/GPER1/ADIPOQ/SCN9A/F2R/TACR3/WNK4/CPS1/ABAT/SCN3A/HRC/SLC6A4/UTS2B/OXTR/KCNJ3/ABCC9/FGA/PDE2A/SPX/NTS/ATP1B2/KCNIP1/ZG16B/C2CD4B/EDN2/SLC8A2/C2CD4A/COL1A2/TEK/ANK2/PER2/GJA1/TJP3/EMILIN2/KCNMB2/JPH3/FFAR3/MYLK2/HSD11B2/ADM2/ATP1A3/CACNA2D1/UCN/KCNA5/KCNK3/SCN11A/TRPC1/DMD/SCN5A/SCN4B/GATA4/CTNNA3/ATP1A2/EPO/FAAH/KCNE1/ADRB1/HSPB7/FERMT2/OLR1/ADM/TAC1/ITGB1BP1/SCN4A/CHGA/PIEZO2/SCN3B/CARTPT/NPR1/KCNE4/MYL2/ZEB2/CXCL12/SGCG/CAV1/MIR27B/SCN2A/ADM5/BIN1/ADRA1A/UTS2/DES/PTGS2/TNNI3/SLIT2/SERPING1/HCN1/AVPR1A/BMP6/AGT/AVPR2/AKAP12/NPR2/CXCL10/HBB/NKX2-5/ABCC8/SCN2B/ACSM3/NOS1/KCNIP2/KCNH6/ADORA2A/KCNJ8/EDNRB/PLN/KCNJ2/JPH4/TTN/FXYD1/PECAM1/SGCZ/ADRB3/GSTM2/CACNA1G/NTSR1",177
"GO:0023061","signal release","161/3925","430/18842",0.374418604651163,1.79740008887572,8.58007501499041,9.83605697353357e-16,8.08945428523325e-13,8.08945428523325e-13,"INHBA/LEP/NMB/NMU/RIMS2/WLS/TFR2/CRY2/STXBP2/OPRK1/EDN3/RAB11FIP3/ECRG4/PRKCA/BRSK2/PNKD/GRM2/TACR1/GHRH/GALR1/CADPS/EDN1/HCAR2/SPP1/MLXIPL/EPHA5/RIMS4/PRKD1/TRPA1/KMO/PCSK5/STX11/MCTP1/MICU3/SLC4A8/RASL10B/UQCC2/ADRA2B/BMP8A/PPARG/INHA/PDE1C/DRD2/TOR2A/SYT1/PRKACB/UNC13C/HTR2A/BRSK1/SLC25A22/WNT7A/BAIAP3/GDNF/MYB/ITSN1/PPFIA3/SV2C/SOX11/ALDOA/GPER1/CCN3/F2R/TACR3/WNK4/ABAT/IL6/SYT5/SYNGR3/KCNB1/KISS1R/STX1A/SLC6A4/MYRIP/KCNJ11/CHRNB4/ILDR1/FGA/GRM4/TCF7L2/SLC44A4/SYN2/RBP4/SNCA/KCNK9/PER2/NRXN1/GJA1/FFAR3/PDE8B/SV2B/PASK/CACNA2D1/UCN/KCNA5/PRKN/STXBP1/GCK/RFX6/RAB3A/GPR158/CAMK2A/RIMS3/SLC30A8/FOXD1/ADAM8/ADCY5/CAMP/FAM3D/ANXA1/SCT/CHRNA6/TAC1/RAPGEF3/IFNG/CHGA/ADCY8/CARTPT/CRHBP/SNCAIP/CPLX2/DOC2B/CXCL12/FOXO1/ABCA12/MCTP2/ABCA1/VIP/MAFA/BMP6/CDK5/AGT/KISS1/SYT9/CACNG4/NLGN1/IL11/PNOC/ABCC8/PLA2G10/SYN1/CHRNA4/TRPM5/NNAT/ADORA2A/SYT13/UNC13A/HADH/NKX6-1/PTPRN2/EDNRB/IRS2/BLK/GAL/GPLD1/FFAR4/C1QTNF1/CSPG5/PLA2G3/KCNA2/DOC2A/PRRT2",161
"GO:0099177","regulation of trans-synaptic signaling","174/3925","488/18842",0.35655737704918,1.71165709512373,8.17045780229421,1.35731753028867e-14,9.76759627733981e-12,9.76759627733981e-12,"SHISA8/CCL2/NMU/NOG/RIMS2/GRIK1/LAMP5/ZDHHC2/GABRG2/NPAS4/ABHD6/TNR/CACNG5/PTN/CHRNA2/PNKD/GRM2/TACR1/EPHB1/MME/RGS4/HAP1/GLRA3/NLGN3/RGS14/SCTR/RIMS4/CBLN4/IGSF21/EFNB3/IGF1/CHRNA7/KMO/SLC8A3/BAIAP2/ADRB2/NTF3/CDH11/PLPPR4/LGI1/MCTP1/CLN3/ARC/FAM107A/NTRK2/MICU3/SLC4A8/NETO1/CHRDL1/CYP46A1/CHRNA5/NPY5R/DRD2/FABP5/SYT1/UNC13C/VGF/HTR2A/BRSK1/RASGRF1/WNT7A/BAIAP3/SLC1A1/PPFIA3/SV2C/CRHR2/CFL1/GPER1/ADIPOQ/F2R/NTNG2/C1QL1/SYT5/CACNG8/PENK/KCNB1/CBLN1/STX1A/SLC6A4/NTF4/CHRNB4/GRM4/PRKAR2B/SLC8A2/CLMP/SORCS3/KIT/NRXN1/JPH3/MAPK8IP2/SV2B/ZDHHC12/CUX2/UCN/GRIA4/SHANK3/GRIK5/PRKN/GRIN2D/STXBP1/RAB3A/GPR158/CAMK2A/RIMS3/SHISA9/SLC7A10/PRNP/ATP1A2/FAAH/KCTD13/SCT/CX3CL1/CALB2/CHRNA6/RELN/TAC1/CDC20/NEFL/TUBB2B/ADCY8/INA/CBLN2/AKAP5/SNCAIP/CPLX2/GABRA4/C1QL2/HOMER3/ADRA1A/DLGAP1/DKK1/MCTP2/GRIA2/NXPH4/APBA1/NGFR/CDK5/LRFN2/BCHE/APBA2/CACNG4/AKAP12/GRIN2B/NLGN1/PNOC/SYN1/NEURL1/SLC6A9/GRM8/SLC24A2/CHRNA4/DLGAP3/EPHA4/GRIN2A/NEFH/ADORA2A/SYT13/GIPC1/UNC13A/S100B/NXPH1/CNR2/JPH4/NTNG1/GABRR1/CNRIP1/CSPG5/NSG1/NRN1/LRP8/ARF1/DLGAP2/BDNF/PRRT2",174
"GO:0001501","skeletal system development","132/3925","341/18842",0.387096774193548,1.85826176289295,8.20408993853142,2.09719017735565e-14,1.34150265011516e-11,1.34150265011516e-11,"HOXC11/GHR/HOXD3/NPR3/GDF10/CNMD/BMP8B/LEP/COL5A1/NOG/EBP/LEPR/NOTUM/PTGER4/ADAMTS12/ACAN/NR5A2/ALPL/COL19A1/ALX4/BMP5/GATA3/WNT10B/CCDC154/ADAMTS7/ZBTB16/HOXA9/SHOX/DDR2/MEPE/PTH1R/DLX4/ACVRL1/MBOAT2/IGF1/PCSK5/CDH11/MYOC/HMGA2/P2RX5/COMP/SIGLEC15/TGFBR2/DLX5/TRPS1/EPYC/BMP8A/HOXD9/GDF5/INHA/WNT7B/BMP2/MDK/CLEC3A/WNT7A/COL2A1/DLL3/SOX11/MATN3/CCN3/BMPR1B/SRD5A2/FGFR3/FBN2/TEAD4/HAPLN1/HOXA4/SOX5/TLL1/NCAN/OSR1/COL11A1/RBP4/TIFAB/ALX1/COL1A2/GJA1/DLX3/COL3A1/ETS2/LHX1/ATP6AP1/TBX4/RUNX2/PRELP/PDGFRA/MMP13/ATG9B/CHRD/COL1A1/SULF1/FGF2/COL10A1/CCN4/SNORC/OSTN/PAX1/COL13A1/EFEMP1/PITX1/OGN/BMP6/WNT1/HOXB3/SIX2/HOXA3/BMP3/TIMP1/NPR2/SLC2A10/MGP/OTOR/CYP26B1/HOXD4/MMP14/FREM1/NFIB/NKX3-2/HOXA2/SCX/PKDCC/GREM1/DLX2/VCAN/HOXB9/HYAL3/MAP2K6/HYAL1/GPLD1/EN1/FBLN5/WNT11",132
"GO:0050804","modulation of chemical synaptic transmission","172/3925","486/18842",0.353909465020576,1.6989457681319,8.0076235900772,4.15517971601104e-14,2.39213696250756e-11,2.39213696250756e-11,"SHISA8/CCL2/NMU/NOG/RIMS2/GRIK1/LAMP5/ZDHHC2/GABRG2/NPAS4/TNR/CACNG5/PTN/CHRNA2/PNKD/GRM2/TACR1/EPHB1/MME/RGS4/HAP1/GLRA3/NLGN3/RGS14/SCTR/RIMS4/CBLN4/IGSF21/EFNB3/IGF1/CHRNA7/KMO/SLC8A3/BAIAP2/ADRB2/NTF3/CDH11/PLPPR4/LGI1/MCTP1/CLN3/ARC/FAM107A/NTRK2/MICU3/SLC4A8/NETO1/CHRDL1/CYP46A1/CHRNA5/NPY5R/DRD2/SYT1/UNC13C/VGF/HTR2A/BRSK1/RASGRF1/WNT7A/BAIAP3/SLC1A1/PPFIA3/SV2C/CRHR2/CFL1/GPER1/ADIPOQ/F2R/NTNG2/C1QL1/SYT5/CACNG8/PENK/KCNB1/CBLN1/STX1A/SLC6A4/NTF4/CHRNB4/GRM4/PRKAR2B/SLC8A2/CLMP/SORCS3/KIT/NRXN1/JPH3/MAPK8IP2/SV2B/ZDHHC12/CUX2/UCN/GRIA4/SHANK3/GRIK5/PRKN/GRIN2D/STXBP1/RAB3A/GPR158/CAMK2A/RIMS3/SHISA9/SLC7A10/PRNP/ATP1A2/FAAH/KCTD13/SCT/CX3CL1/CALB2/CHRNA6/RELN/TAC1/CDC20/NEFL/TUBB2B/ADCY8/INA/CBLN2/AKAP5/SNCAIP/CPLX2/GABRA4/C1QL2/HOMER3/ADRA1A/DLGAP1/DKK1/MCTP2/GRIA2/NXPH4/APBA1/NGFR/CDK5/LRFN2/BCHE/APBA2/CACNG4/AKAP12/GRIN2B/NLGN1/PNOC/SYN1/NEURL1/SLC6A9/GRM8/SLC24A2/CHRNA4/DLGAP3/EPHA4/GRIN2A/NEFH/ADORA2A/SYT13/GIPC1/UNC13A/S100B/NXPH1/CNR2/JPH4/NTNG1/GABRR1/CNRIP1/CSPG5/NSG1/NRN1/LRP8/ARF1/DLGAP2/BDNF/PRRT2",172
"GO:0003018","vascular process in circulatory system","102/3925","255/18842",0.4,1.92020382165605,7.58892977039304,1.86532750805219e-12,9.76244587623313e-10,9.76244587623313e-10,"SLC4A4/SLC16A7/AZU1/LEP/MAS1/LEPR/CLDN5/SLC7A2/NHERF1/ATP2A3/SLCO1C1/EDN3/SLC1A3/CDH5/RGS2/ITGA9/HTR1D/SLC29A4/TACR1/EDN1/RAMP2/SLC27A4/ADD3/SLC7A8/ADRB2/SRC/SLC4A8/SH3GL2/SLC5A5/ANGPT1/ADRA2B/SLC16A12/FABP5/KLF2/HTR2A/PDE3A/SLC1A1/ATP1A4/SVEP1/KAT2B/GPER1/F2R/CPS1/SLC6A4/UTS2B/OXTR/ABCC9/FGA/PDE2A/NTS/ATP1B2/ZG16B/C2CD4B/EDN2/CD36/SLC8A2/C2CD4A/TEK/PER2/TJP3/KCNMB2/SLC2A3/UCN/ATP1A2/FAAH/ADRB1/FERMT2/ABCB1/ADM/ITGB1BP1/SLC22A3/NPR1/ZEB2/SLC2A4/LRP1/SLC2A1/CAV1/MFSD2A/ADRA1A/UTS2/SLIT2/SLC7A5/AVPR1A/BMP6/AGT/SLC1A2/AVPR2/SLC38A5/AKAP12/HBB/SLC2A10/ABCC8/ABCG2/NOS1/SLC6A9/ADORA2A/KCNJ8/EDNRB/PECAM1/ADRB3/SLC5A1/SLC7A3",102
"GO:0006959","humoral immune response","113/3925","296/18842",0.381756756756757,1.83262695816836,7.40631631486941,4.4896427352503e-12,2.15390610223633e-09,2.15390610223633e-09,"KLK3/AZU1/CCL2/H2BC18/IGHG1/CCR7/FOXJ1/IGHG2/CCL14/KLK5/CFB/CCL21/FCN1/RARRES2/GZMK/CCL16/CCR6/FCN2/CXCL5/CCL24/PPBP/DEFB1/CCL23/PF4/CTSG/CXCL2/JCHAIN/H2BC5/CCL19/CR2/VSIG4/IFNE/TOR2A/TF/PRTN3/CFD/SPINK5/RNASE7/CXCL3/IL6/IGHG3/H2BC15/H2BC4/CCL7/FGA/CCL11/NTS/CXCL11/H2BC21/CXCL1/H2BC17/MASP2/A2M/CCL17/PRSS2/C4A/RNASE4/GAPDH/COLEC11/C6/IGHA2/SUSD4/C4BPA/PDCD1/CAMP/SLC11A1/H2BC8/H2BC12/CX3CL1/ADM/TAC1/CFI/IFNG/MS4A1/H2BC19P/S100A7/H2BC11/ELANE/CST9/CR1/H2BC9/CXCL12/IGHG4/CFH/HLA-DQB1/CCL13/CXCL13/VIP/C4B/H2BC7/H2BC6/SERPING1/CCL20/H2BC26/CFP/S100A12/MASP1/CXCL10/CXCL6/H2BC13/CST9L/CXCL9/KLK7/DCD/PI3/IL36RN/C7/C3/IGHE/CCL28/MUC7/BST1/TSLP",113
"GO:0019730","antimicrobial humoral response","81/3925","189/18842",0.428571428571429,2.05736123748863,7.49395365072766,5.52036022983272e-12,2.44467029562669e-09,2.44467029562669e-09,"KLK3/AZU1/CCL2/H2BC18/IGHG1/IGHG2/CCL14/KLK5/CCL21/RARRES2/CCL16/CXCL5/CCL24/PPBP/DEFB1/CCL23/PF4/CTSG/CXCL2/JCHAIN/H2BC5/CCL19/TOR2A/TF/PRTN3/SPINK5/RNASE7/CXCL3/IGHG3/H2BC15/H2BC4/CCL7/FGA/CCL11/NTS/CXCL11/H2BC21/CXCL1/H2BC17/CCL17/PRSS2/RNASE4/GAPDH/COLEC11/IGHA2/CAMP/SLC11A1/H2BC8/H2BC12/CX3CL1/ADM/TAC1/H2BC19P/S100A7/H2BC11/ELANE/CST9/H2BC9/CXCL12/IGHG4/CCL13/CXCL13/VIP/H2BC7/H2BC6/CCL20/H2BC26/S100A12/CXCL10/CXCL6/H2BC13/CST9L/CXCL9/KLK7/DCD/PI3/IL36RN/IGHE/CCL28/MUC7/TSLP",81
"GO:0061564","axon development","145/3925","414/18842",0.35024154589372,1.68133788731961,7.19042678882037,1.02484551044531e-11,4.2143111454526e-09,4.2143111454526e-09,"MT3/NEUROG2/POTEE/UNC5B/PLXNA3/MIR221/SEMA7A/BOC/APLP1/EFNA3/POU4F1/HMCN2/EDN3/TNR/SEMA3A/PRKCA/BRSK2/PTN/PAK1/KIFC2/DCHS2/CRTAC1/GPM6B/ARK2C/NMNAT2/TENM2/EPHB1/EDN1/SPP1/UNC5D/NLGN3/EPHA5/SEMA3F/EFNB3/CTNNA2/RAC3/BAIAP2/SKIL/TUBB3/UNC5A/PLPPR4/LGI1/CELSR1/OLIG1/NTRK2/RTN4R/POTEI/SEMA3D/CDHR2/CELSR3/TENM1/PTCH1/DRD2/WNT7B/LRP4/NOVA2/BRSK1/KALRN/WNT7A/GDNF/PARD6B/CTTN/RET/NTNG2/SLITRK3/EFNA4/ARHGEF40/EFNA2/DPYSL5/PTPRM/LIMK1/EDN2/TRIM46/VIM/RGMA/MAG/SEMA5A/NRXN1/LHX1/NELL2/PAX2/STXBP1/RAB3A/CERS2/DRAXIN/SCN11A/KIAA0319/BHLHA15/CDK5R1/MGARP/ROBO2/FOLR1/GAP43/NRP1/ACTL8/NREP/RELN/CDH2/NPTX1/CYFIP2/TUBB2B/CNTN6/SLITRK6/IGSF9/CNTN5/CXCL12/NRCAM/RTN4RL2/EPHA10/EVL/SLIT2/NTN4/PLXNA4/CDK5/POTEF/APOD/PAK3/NPR2/LHX9/PLA2G10/EPHA8/FAT4/PLP1/NEXN/NFIB/EPHA4/NEFH/PTK7/ROBO3/S100B/SEMA6D/SEMA3G/SLIT3/MYCBP2/ISL2/ROBO4/EFNA1/METRN/NTNG1/FEZ1/KIF21A/CSPG5/SHH/SLITRK2/BDNF",145
"GO:0007409","axonogenesis","129/3925","357/18842",0.361344537815126,1.73463790611786,7.18834271445125,1.27677685282935e-11,4.90026956115904e-09,4.90026956115904e-09,"MT3/POTEE/UNC5B/PLXNA3/SEMA7A/BOC/APLP1/EFNA3/POU4F1/HMCN2/EDN3/TNR/SEMA3A/PRKCA/BRSK2/PAK1/KIFC2/DCHS2/ARK2C/TENM2/EPHB1/EDN1/SPP1/UNC5D/NLGN3/EPHA5/SEMA3F/EFNB3/CTNNA2/RAC3/BAIAP2/SKIL/TUBB3/UNC5A/PLPPR4/LGI1/CELSR1/NTRK2/RTN4R/POTEI/SEMA3D/CDHR2/CELSR3/TENM1/PTCH1/DRD2/WNT7B/LRP4/NOVA2/BRSK1/KALRN/WNT7A/GDNF/PARD6B/CTTN/RET/NTNG2/SLITRK3/EFNA4/ARHGEF40/EFNA2/DPYSL5/PTPRM/LIMK1/EDN2/TRIM46/VIM/RGMA/MAG/SEMA5A/NRXN1/LHX1/NELL2/PAX2/STXBP1/RAB3A/DRAXIN/SCN11A/KIAA0319/CDK5R1/ROBO2/GAP43/NRP1/ACTL8/RELN/CDH2/NPTX1/CYFIP2/TUBB2B/CNTN6/SLITRK6/IGSF9/CNTN5/CXCL12/NRCAM/EPHA10/EVL/SLIT2/NTN4/PLXNA4/CDK5/POTEF/PAK3/NPR2/LHX9/PLA2G10/EPHA8/FAT4/NEXN/NFIB/EPHA4/NEFH/PTK7/ROBO3/S100B/SEMA6D/SEMA3G/SLIT3/MYCBP2/ISL2/ROBO4/EFNA1/METRN/NTNG1/FEZ1/KIF21A/SHH/SLITRK2/BDNF",129
